control_id,aspect,uu_pdp_reference,source_ids,review_question,expected_evidence,output_category,keywords,required_terms,recommendation_scope,suggested_owner
PNR-001,Applicability and role clarity,"Pasal 1; Pasal 2; Pasal 19","UU-PDP-2022-P1;UU-PDP-2022-P2;UU-PDP-2022-P19",Does the notice identify the entity and its role as controller processor joint controller or equivalent operational role?,"Company identity, controller role, contact point, applicable services",Notice Wording Gap,"pengendali;prosesor;controller;processor;kami;perusahaan;afiliasi;layanan;platform","kami|perusahaan|company;layanan|platform|service;pengendali|controller|prosesor|processor","Privacy Notice Wording;PDP Officer / Privacy Governance","Legal / Compliance;Data Protection Officer / PDP Function"
PNR-002,Personal data category mapping,Pasal 4,UU-PDP-2022-P4,Does the notice classify general and specific personal data clearly?,"Data category list, sensitive or specific data indicators",Notice Wording Gap,"data pribadi;kategori;identitas;kontak;transaksi;lokasi;biometrik;kesehatan;keuangan;anak;specific;sensitive","data pribadi|personal data;kategori|jenis|type;identitas|kontak|transaksi|lokasi|keuangan|biometrik|kesehatan|anak","Privacy Notice Wording;Underlying Evidence Required","Legal / Compliance;Data Governance"
PNR-003,Data subject information rights,Pasal 5,UU-PDP-2022-P5,Does the notice explain identity legal basis purpose and accountability of the party requesting data?,"Identity, legal basis, purpose, accountability explanation",Notice Wording Gap,"identitas;dasar hukum;tujuan;akuntabilitas;accountability;purpose;legal basis","identitas|identity;dasar hukum|legal basis|lawful basis;tujuan|purpose;akuntabilitas|accountability","Privacy Notice Wording;Legal Review Required","Legal / Compliance"
PNR-004,Data subject rights,"Pasal 6-12","UU-PDP-2022-P6;UU-PDP-2022-P7;UU-PDP-2022-P8;UU-PDP-2022-P9;UU-PDP-2022-P10;UU-PDP-2022-P11;UU-PDP-2022-P12",Does the notice explain correction access deletion withdrawal objection to automated decision-making restriction and claim or compensation channels?,"DSAR section, contact channel, process or SLA",Notice Wording Gap / Process Gap,"hak;akses;koreksi;perbaikan;pembaruan;hapus;pemusnahan;tarik persetujuan;keberatan;otomatis;kompensasi;permintaan","hak|right;akses|access;koreksi|perbaiki|pembaruan|correction;hapus|pemusnahan|delete|erasure;tarik|withdraw;keberatan|object","Privacy Notice Wording;Data Subject Rights / DSAR Process","Legal / Compliance;Customer Service / DSAR Team"
PNR-005,Lawful basis,Pasal 20,UU-PDP-2022-P20,Does the notice specify the basis of processing for each major processing purpose?,"Consent, contract, legal obligation, vital interest, public interest, legitimate interest",Notice Wording Gap,"dasar pemrosesan;dasar hukum;persetujuan;kontrak;kewajiban hukum;kepentingan vital;kepentingan publik;kepentingan sah;legal basis;consent","dasar hukum|dasar pemrosesan|legal basis|lawful basis;persetujuan|consent|kontrak|kewajiban hukum|kepentingan sah;tujuan|purpose","Privacy Notice Wording;Legal Review Required","Legal / Compliance"
PNR-006,Consent notice content,Pasal 21,UU-PDP-2022-P21,If relying on consent does the notice disclose legality purpose type relevance retention collected information details processing period and rights?,"Consent-specific disclosure elements",Notice Wording Gap,"persetujuan;consent;tujuan;jenis data;retensi;periode;hak;menarik;withdraw","persetujuan|consent;tujuan|purpose;jenis|type|kategori;retensi|penyimpanan|retention;hak|right;tarik|withdraw","Privacy Notice Wording;Consent Mechanism","Legal / Compliance;Product Owner"
PNR-007,Consent validity,"Pasal 22-24","UU-PDP-2022-P22;UU-PDP-2022-P23;UU-PDP-2022-P24",Does the notice or supporting evidence show explicit written or recorded consent and proof of consent?,"Consent mechanism, logs, withdrawal method",Process Gap,"persetujuan eksplisit;tertulis;terekam;rekam;log;consent record;withdraw;menarik persetujuan","persetujuan|consent;eksplisit|tertulis|record|rekam|log;tarik|withdraw","Consent Mechanism;Underlying Evidence Required","Legal / Compliance;Product Owner"
PNR-008,Children and disability data,"Pasal 25-26","UU-PDP-2022-P25;UU-PDP-2022-P26",Does the notice explain special handling for children or persons with disabilities where applicable?,"Parent or guardian consent, accessible communication",Notice Wording Gap / Process Gap,"anak;orang tua;wali;disabilitas;difabel;children;guardian;parent;disability","anak|children|minor;orang tua|wali|parent|guardian;disabilitas|disability|accessible","Privacy Notice Wording;Consent Mechanism;Legal Review Required","Legal / Compliance;Product Owner"
PNR-009,Purpose limitation and transparency,"Pasal 16; Pasal 27; Pasal 28","UU-PDP-2022-P16;UU-PDP-2022-P27;UU-PDP-2022-P28",Are collection and processing limited specific lawful transparent and aligned to stated purposes?,"Clear purpose table, no vague excessive purposes",Notice Wording Gap,"tujuan;purpose;mengumpulkan;menggunakan;memproses;terbatas;spesifik;sah;transparan","tujuan|purpose;mengumpulkan|memperoleh|collect;memproses|menggunakan|process|use;terbatas|spesifik|transparent|transparan","Privacy Notice Wording;Legal Review Required","Legal / Compliance;Data Governance"
PNR-010,Accuracy and update,"Pasal 29-30","UU-PDP-2022-P29;UU-PDP-2022-P30",Does the notice explain how users can update or correct inaccurate data?,"Update or correction process, timing if stated",Process Gap,"akurat;memperbarui;pembaruan;perbaikan;koreksi;update;correct;inaccurate","memperbarui|pembaruan|update;koreksi|perbaiki|correct;akurasi|akurat|inaccurate","Data Subject Rights / DSAR Process","Customer Service / DSAR Team;Data Governance"
